Sex,Age,Mother job,Father job,Travel time,Hosteller,Study time,subjects_failed,edu_support,Extra paid,Extracurricular,higher_edu,Internet,"Free time  after college (1 less, 5 more)","Going out with friends (1 less, 5 more)",Health,10(%),12(%),1st sem,2nd sem,3rd sem
Female,22,at_home,teacher,25,yes,5,1,no,no,no,yes,no,3,4,3,91.36,67,54.58,53.75,53.27
Female,21,at_home,other,120,yes,2,2,yes,no,no,yes,yes,3,3,3,87.86,75,55.76,66.25,56.47
Female,21,at_home,other,45,no,3,2,no,yes,no,yes,yes,3,2,3,83.84,70.92,52.58,63.5,42.11
Female,22,health,services,0,no,4,0,yes,yes,yes,yes,yes,2,2,5,86.4,87,74.35,81.87,66
Female,21,other,other,20,no,6,1,yes,yes,no,yes,no,3,2,5,71,75,60,63.5,49.49
Male,22,services,other,45,yes,3,2,yes,yes,yes,yes,yes,4,2,5,86.4,75.2,60.7,67.14,55.76
Female,21,other,other,50,no,1,0,no,no,no,yes,yes,4,4,3,79.89,84.5,74.42,67.73,65.64
Male,22,other,teacher,110,no,3,0,yes,no,no,yes,no,1,4,1,64,66,78.14,66.4,64.35
Female,21,services,other,300,no,8,0,yes,yes,no,yes,yes,2,2,1,88,87.33,72.85,66.26,61.04
Female,21,other,other,10,yes,6,0,yes,yes,yes,yes,yes,5,1,5,87.04,76.33,68.47,63.33,60.58
Female,21,teacher,health,45,no,1,0,yes,yes,no,yes,yes,3,3,2,91,76,74.71,56,60.48
Female,21,services,other,15,no,8,0,yes,no,yes,yes,yes,2,2,4,68.7,80.01,65.14,67.6,67.88
Female,21,health,services,0,no,8,0,yes,yes,yes,yes,yes,3,3,5,88.48,85,88.57,79.86,81.05
Female,21,teacher,other,0,yes,2,0,yes,yes,no,yes,yes,4,3,3,73,70,69.14,57.86,57.88
Female,22,other,other,0,yes,2,0,yes,no,no,yes,yes,5,2,3,79.66,72,72.57,66.4,72.35
Female,21,health,other,90,no,2,0,yes,no,no,yes,yes,4,4,2,83.84,86.33,64.85,58,45.05
Female,21,services,services,15,no,3,0,yes,yes,yes,yes,yes,2,3,2,88.48,75,67.85,59.2,55.05
Female,21,other,other,100,yes,2,0,yes,no,yes,yes,no,3,2,4,84.8,88.8,78.3,73.66,69.04
Female,22,services,services,90,no,2,0,yes,no,yes,yes,yes,5,5,5,93.92,86.5,69.25,72.53,63.29
Female,21,health,other,0,no,2,0,no,yes,yes,yes,yes,1,3,5,97.04,85,70,69.33,54.82
Female,21,teacher,other,0,yes,2,2,no,no,no,yes,yes,4,1,1,86,69,57.57,54.93,45.04
Female,22,health,health,50,no,2,0,yes,yes,no,yes,yes,4,2,5,87.52,84.5,76.57,73.06,65.88
Male,22,teacher,other,50,no,2,0,no,no,yes,yes,yes,5,1,5,82.56,72.16,74.71,76.26,72.35
Female,22,other,other,15,no,2,0,yes,no,yes,yes,yes,4,4,5,88,81,70,68.66,67.7
Male,22,services,health,40,no,3,0,yes,yes,yes,yes,yes,3,2,5,85.6,80.83,79.42,76.53,69.17
Male,21,services,services,30,no,1,0,yes,yes,no,yes,yes,2,2,5,89,80,70.28,67.2,47.64
Female,21,other,other,40,yes,2,0,yes,yes,no,yes,yes,2,2,5,85.44,60.666,48.85,57.46,48.82
Female,21,health,services,25,no,3,1,no,yes,no,yes,yes,2,4,1,84,60,53.28,57.6,44.11
Female,22,services,other,20,no,1,0,yes,no,yes,yes,yes,3,3,5,90.08,59,59,59.73,53.29
Female,21,teacher,teacher,10,no,3,0,yes,yes,yes,yes,yes,4,5,5,81.92,72,59.28,67.73,62.95
Male,22,health,services,180,no,2,0,yes,yes,no,yes,yes,4,2,5,67.5,82.33,72.85,59.72,50.82
Female,22,services,services,0,no,1,0,yes,no,yes,yes,yes,3,1,5,90.72,81,70.42,59.86,58
Female,21,teacher,at_home,90,yes,1,0,yes,no,yes,yes,yes,5,2,5,90.24,73,72.57,62.8,48.94
Female,22,other,other,0,no,2,0,no,no,yes,yes,yes,3,2,2,83.33,84.44,65.14,61.86,50.35
Female,22,other,other,45,no,1,0,yes,yes,no,yes,yes,4,3,5,88,77,77.29,72.06,70
Female,21,other,other,0,no,2,0,yes,no,yes,yes,no,5,1,5,92,63,65.7,57.46,54.23
Female,21,teacher,services,30,yes,2,0,yes,no,yes,yes,yes,4,3,4,93.76,80.33,76.85,74,66.35
Male,21,other,teacher,20,yes,3,0,yes,no,yes,yes,yes,4,3,5,93,85.5,67.28,64.93,57.29
